"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","A Killer Among Us","mkm","Near Mint","English","","","2026-03-05 14:10:32.160000","167","False","False",""
"1","1","A Premonition of Your Demise","dsc","Near Mint","English","","","2026-03-05 14:10:32.160000","353","False","False",""
"1","1","A Realm Reborn","fin","Near Mint","English","","","2026-03-05 14:10:32.160000","196","False","False",""
"1","1","A Tale for the Ages","woe","Near Mint","English","","","2026-03-05 14:10:32.160000","328","False","False",""
"2","2","A Tale for the Ages","woe","Near Mint","English","","","2026-03-05 14:10:32.160000","34","False","False","0.19"
"1","1","Aang, at the Crossroads // Aang, Destined Savior","tla","Near Mint","English","foil","","2026-03-05 14:10:32.160000","346","False","False",""
"1","1","Aang's Defense","tle","Near Mint","English","foil","","2026-03-05 14:10:32.160000","211","False","False",""
"1","1","Aang's Iceberg","tla","Near Mint","English","","","2026-03-05 14:10:32.160000","336","False","False",""
"1","1","Aang's Journey","tla","Near Mint","English","foil","","2026-03-05 14:10:32.160000","1","False","False",""
"1","1","Abandon Attachments","tla","Near Mint","English","","","2026-03-05 14:10:32.160000","205","False","False",""
"1","1","Abandon Reason","j25","Near Mint","English","","","2026-03-05 14:10:32.160000","513","False","False",""
"1","1","Abandon the Post","mid","Near Mint","English","foil","","2026-03-05 14:10:32.160000","127","False","False",""
"1","1","Abandoned Air Temple","tla","Near Mint","English","foil","","2026-03-05 14:10:32.160000","263","False","False",""
"1","1","Abandoned Campground","dsk","Near Mint","English","foil","","2026-03-05 14:10:32.160000","255","False","False",""
"1","1","Abbot of Keral Keep","2x2","Near Mint","English","","","2026-03-05 14:10:32.160000","100","False","False",""
"1","1","Aberrant Researcher // Perfected Form","inr","Near Mint","English","foil","","2026-03-05 14:10:32.160000","52","False","False",""
"1","1","Aberrant Return","ecc","Near Mint","English","","","2026-03-05 14:10:32.160000","27","False","False",""
"1","1","Abigale, Eloquent First-Year","ecl","Near Mint","English","","","2026-03-05 14:10:32.160000","204","False","False",""
"1","1","Aboleth Spawn","clb","Near Mint","English","","","2026-03-05 14:10:32.160000","612","False","False",""
"1","1","Abrade","fdn","Near Mint","English","foil","","2026-03-05 14:10:32.160000","188","False","False",""
"1","1","Abrade","blc","Near Mint","English","","","2026-03-05 14:10:32.160000","191","False","False",""
"5","5","Abrade","cmm","Near Mint","English","","","2026-03-05 14:10:32.160000","203","False","False","0.13"
"1","1","Abrupt Decay","otp","Near Mint","English","","","2026-03-05 14:10:32.160000","34","False","False",""
"1","1","Abrupt Decay","mb2","Near Mint","English","","","2026-03-05 16:02:46.750000","78","False","False",""
"1","1","Absolute Virtue","fin","Near Mint","English","foil","","2026-03-05 14:10:32.160000","212","False","False",""
"1","1","Absolving Lammasu","mkm","Near Mint","English","","","2026-03-05 14:10:32.160000","2","False","False",""
"1","1","Absorb","dmr","Near Mint","English","foil","","2026-03-05 14:10:32.160000","443","False","False",""
"1","1","Abstergo Entertainment","acr","Near Mint","English","etched","","2026-03-05 14:10:32.160000","265","False","False",""
"1","1","Abstruse Appropriation","mh3","Near Mint","English","","","2026-03-05 14:10:32.160000","177","False","False",""
"1","1","Abstruse Archaic","cmm","Near Mint","English","","","2026-03-05 14:10:32.160000","712","False","False",""
"1","1","Abuelo, Ancestral Echo","lci","Near Mint","English","","","2026-03-05 14:10:32.160000","297","False","False",""
"1","1","Abuelo's Awakening","lci","Near Mint","English","foil","","2026-03-05 14:10:32.160000","353","False","False",""
"1","1","Abundant Growth","inr","Near Mint","English","foil","","2026-03-05 14:10:32.160000","184","False","False",""
"1","1","Abundant Growth","inr","Near Mint","English","foil","","2026-03-05 14:10:32.160000","315","False","False",""
"1","1","Abundant Growth","inr","Near Mint","English","","","2026-03-05 14:10:32.160000","315","False","False",""
"1","1","Abundant Harvest","cmm","Near Mint","English","","","2026-03-05 14:10:32.160000","269","False","False",""
"1","1","Abundant Maw","inr","Near Mint","English","foil","","2026-03-05 14:10:32.160000","1","False","False",""
"1","1","Abyssal Gorestalker","lci","Near Mint","English","foil","","2026-03-05 14:10:32.160000","87","False","False",""
"1","1","Abyssal Harvester","fdn","Near Mint","English","","","2026-03-05 14:10:32.160000","54","False","False",""
"1","1","Abzan Ascendancy","2x2","Near Mint","English","","","2026-03-05 14:10:32.160000","165","False","False",""
"1","1","Abzan Charm","2x2","Near Mint","English","","","2026-03-05 14:10:32.160000","166","False","False",""
"1","1","Abzan Devotee","tdm","Near Mint","English","foil","","2026-03-05 14:10:32.160000","68","False","False",""
"1","1","Abzan Monument","tdm","Near Mint","English","foil","","2026-03-05 14:10:32.160000","238","False","False",""
"1","1","Academy Journeymage","j25","Near Mint","English","","","2026-03-05 14:10:32.160000","281","False","False",""
"1","1","Academy Loremaster","dmu","Near Mint","English","","","2026-03-05 14:10:32.160000","40","False","False","0.12"
"1","1","Academy Manufactor","mkc","Near Mint","English","","","2026-03-05 14:10:32.160000","221","False","False",""
"1","1","Academy Wall","dmu","Near Mint","English","","","2026-03-05 14:10:32.160000","41","False","False","0.03"
"1","1","Accomplished Alchemist","stx","Near Mint","English","","","2026-03-05 14:10:32.160000","119","False","False",""
"1","1","Accumulate Wisdom","tla","Near Mint","English","","","2026-03-05 14:10:32.160000","44","False","False",""
"1","1","Ace's Baseball Bat","who","Near Mint","English","","","2026-03-05 14:10:32.160000","170","False","False",""
"2","2","Acidic Slime","cmm","Near Mint","English","","","2026-03-05 14:10:32.160000","270","False","False","0.10"
"1","1","Acidic Soil","plst","Near Mint","English","","","2026-03-05 14:10:32.160000","USG-172","False","False",""
"1","1","Acolyte of Bahamut","clb","Near Mint","English","","","2026-03-05 14:10:32.160000","212","False","False",""
"1","1","Act of Treason","rvr","Near Mint","English","foil","","2026-03-05 14:10:32.160000","99","False","False",""
